CarNumber,Class,ScaleSpeed,ActualTime_h,ActualTime_s,ActualSpeed_in,Actual Speed_m,PcntOfTheoreticalSpeed,PcntOfStockChampSpeed
NA,TheoreticalFrictionless,762.5646114,0.000258607,0.930986936,522.026659,13.25710104,100,322.5437534
NA,ProChampion2018,240.4990009,0.000819982,2.9517,164.6508792,4.182132331,31.53818015,101.72443
NA,StockChampion2018,236.4220679,0.000834122,3.0026,161.8597216,4.111236928,31.00354571,100
22,Outlaw,228.09,0.000864593,3.112533173,156.1429141,3.966030019,29.91090808,96.47576559
38,Outlaw,227.57,0.000866568,3.119645346,155.7869392,3.956988257,29.84271714,96.25581997
48,Outlaw,226.63,0.000870162,3.132584792,155.1434461,3.940643532,29.7194489,95.85822595
7,Outlaw,225.68,0.000873825,3.145771408,154.4931074,3.924124928,29.59486929,95.45640221
2,Outlaw,223.74,0.000881402,3.173047696,153.1650472,3.890392198,29.34046462,94.63583583
6,Outlaw,223.47,0.000882467,3.176881422,152.9802141,3.885697437,29.30505778,94.52163329
58,Outlaw,220.8,0.000893138,3.215297516,151.1524198,3.839271464,28.95492352,93.39229709
29,Outlaw,220.28,0.000895247,3.222887649,150.7964449,3.830229702,28.88673257,93.17235146
49,Outlaw,217.9,0.000905025,3.258089451,149.1671752,3.78884625,28.57462787,92.16567725
8,Outlaw,217,0.000908778,3.271602265,148.5510648,3.773197046,28.45660509,91.78500212
4,Outlaw,215.98,0.00091307,3.287052928,147.8528063,3.755461281,28.32284593,91.35357031
9,Outlaw,213.3,0.000924542,3.328352984,146.0181665,3.708861428,27.9714003,90.22000439
19,Outlaw,209.5,0.000941312,3.388724064,143.4168114,3.64278701,27.47308187,88.61270942
43,Outlaw,208.67,0.000945056,3.402202959,142.8486207,3.628354966,27.36423863,88.26164236
46,Outlaw,208.63,0.000945238,3.402855253,142.821238,3.627659445,27.35899317,88.24472347
50,Outlaw,205.02,0.000961881,3.462772858,140.3499507,3.564888748,26.88559067,86.71779325
60,Outlaw,196.19,0.001005173,3.61862323,134.3052231,3.411352666,25.727656,82.98294731
5,Outlaw,147.42,0.001337708,4.815748823,100.9188847,2.56333967,19.33213236,62.35458531
53,Outlaw,144.42,0.001365496,4.91578515,98.86518331,2.511175656,18.93872307,61.08566823
11,Outlaw,125.64,0.001569603,5.65057061,86.00901282,2.184628926,16.47598094,53.14224731
54,Stock,223.6,0.000881954,3.175034398,153.0692078,3.887957878,29.32210552,94.5766197
13,Stock,223.53,0.00088223,3.176028683,153.0212881,3.886740717,29.31292597,94.54701163
37,Stock,223.31,0.000883099,3.179157635,152.8706833,3.882915356,29.28407595,94.45395771
21,Stock,222.5400168,0.000886155,3.190157446,152.3435781,3.869526884,29.1831031,94.12827608
27,Stock,222.27,0.000887231,3.194032894,152.1587335,3.864831831,29.14769407,94.01406646
1,Stock,222.07,0.00088803,3.196909494,152.0218201,3.86135423,29.12146678,93.92947199
59,Stock,220.56,0.00089411,3.218796207,150.9881237,3.835098343,28.92345077,93.29078372
16,Stock,219.72,0.000897528,3.231101818,150.4130874,3.820492419,28.81329617,92.93548694
36,Stock,219.71,0.000897569,3.23124888,150.4062417,3.820318539,28.81198481,92.93125722
30,Stock,219.58,0.000898101,3.233161906,150.317248,3.818058098,28.79493707,92.87627081
23,Stock,219.56,0.000898182,3.233456419,150.3035566,3.817710338,28.79231434,92.86781136
51,Stock,219.11,0.000900027,3.240097172,149.9955014,3.809885736,28.73330295,92.6774738
10,Stock,218.62,0.000902044,3.247359306,149.6600635,3.801365614,28.6690461,92.47021734
24,Stock,217.59,0.000906314,3.262731244,148.9549594,3.783455969,28.53397558,92.03455581
3,Stock,215.03,0.000917104,3.301575089,147.2024676,3.738942676,28.19826632,90.95174657
20,Stock,214.94,0.000917488,3.30295753,147.1408565,3.737377756,28.18646404,90.91367906
12,Stock,214.73,0.000918385,3.306187731,146.9970974,3.733726275,28.15892539,90.82485486
33,Stock,214.64,0.000918771,3.307574038,146.9354864,3.732161354,28.14712311,90.78678735
35,Stock,214.61,0.000918899,3.308036398,146.9149494,3.731639714,28.14318902,90.77409818
26,Stock,214.48,0.000919456,3.310041456,146.8259557,3.729379274,28.12614128,90.71911177
42,Stock,214.19,0.000920701,3.314523047,146.6274312,3.724336752,28.08811172,90.59644979
39,Stock,213.33,0.000924412,3.327884927,146.0387035,3.709383068,27.97533439,90.23269356
52,Stock,212.3,0.000928897,3.344030577,145.3335993,3.691473423,27.84026387,89.79703203
17,Stock,212.2,0.000929335,3.345606463,145.2651426,3.689734623,27.82715023,89.75473479
47,Stock,212.14,0.000929598,3.346552708,145.2240686,3.688691342,27.81928204,89.72935645
62,Stock,211.83,0.000930958,3.351450179,145.0118528,3.683301061,27.77862975,89.59823502
34,Stock,211.81,0.000931046,3.351766637,144.9981614,3.682953301,27.77600702,89.58977557
31,Stock,211.03,0.000934488,3.364155293,144.4641991,3.669390657,27.6737206,89.25985713
28,Stock,210.66,0.000936129,3.370064044,144.2109093,3.662957095,27.62520013,89.10335736
41,Stock,209.2,0.000942662,3.393583611,143.2114413,3.637570608,27.43374094,88.48581771
57,Stock,208.98,0.000943654,3.397156146,143.0608365,3.633745247,27.40489093,88.39276379
55,Stock,206.17,0.000956516,3.443457784,141.1372029,3.584884954,27.03639756,87.20421146
18,Stock,206.12,0.000956748,3.444293089,141.1029745,3.584015553,27.02984074,87.18306284
77,Stock,205.36,0.000960289,3.457039791,140.5827035,3.57080067,26.93017705,86.86160385
45,Stock,205.16,0.000961225,3.460409882,140.4457901,3.567323069,26.90394977,86.77700938
63,Stock,204.42,0.000964705,3.472936559,139.9392104,3.554455945,26.80690881,86.46400983
40,Stock,204.41,0.000964752,3.47310646,139.9323648,3.554282065,26.80559744,86.45978011
61,Stock,202.65,0.000973131,3.503270128,138.7275266,3.523679177,26.57479733,85.71534876
25,Stock,199.87,0.000986666,3.551997255,136.82443,3.475340523,26.21023806,84.53948559
15,Stock,196.32,0.001004508,3.616227035,134.3942168,3.413613106,25.74470373,83.03793372
32,Stock,190.16,0.001037047,3.733370275,130.1772833,3.306502996,24.93690333,80.43242398
44,Stock,144.07,0.001368813,4.927727434,98.62558482,2.505089854,18.89282532,60.93762791
